整租 | 轻轨旁边  品质小区  出行方便  拎包入住,旭辉城(商住楼),https://short.58.com/zd_p/80304e3e-23dc-41c6-8bb9-3bb389213a09/?target=xr-16-xgk_hvimob_82303891505763q-feykn&end=end&shangquan=longzhouwan
整租 | 旭辉精装两房，房源真实 无中！介费，拎包入住！,旭辉城三期,https://short.58.com/zd_p/a85a40f7-de8f-4ff9-9b9e-da0d6f32a964/?target=xr-16-xgk_hvimob_82852625201621q-feykn&end=end&shangquan=longzhouwan
整租 | 大量可月付的万达精装一房出租 性价比高价格一千到一千,巴南万达广场C区,https://short.58.com/zd_p/c57e7ab8-851f-4f9d-9070-a1bae9470324/?target=xr-16-xgk_hvimob_82775823235671q-feykn&end=end&shangquan=longzhouwan
整租 | 万达 水电气三通  距离轻轨站龒驋龤米   拎包入住,巴南万达广场C区,https://short.58.com/zd_p/d1229510-8ce2-405a-9d04-af1349d72fcf/?target=xr-16-xgk_hvimob_82889232251740q-feykn&end=end&shangquan=longzhouwan
整租 | 城南未来三期 精装修 无  中  介  费,新跨越I33,https://short.58.com/zd_p/856d9bbe-3b6c-4248-bdb1-e764f421c9bf/?target=xr-16-xgk_hvimob_82851967842680q-feykn&end=end&shangquan=longzhouwan
整租 | 龒龒驋龤起！巴南万达广场步行街高档整租龒居室，图真实,巴南万达广场C区,https://short.58.com/zd_p/d745f219-2ebb-4bfe-9b04-703c3a6e3db6/?target=xr-16-xgk_hvimob_82881652679406q-feykn&end=end&shangquan=longzhouwan
整租 | 巴南万达商圈旭辉公寓房出租,巴南万达广场B区,https://short.58.com/zd_p/c50a9fe1-1c2e-4288-8817-7408ea853404/?target=xr-16-xgk_hvimob_82852812152342q-feykn&end=end&shangquan=longzhouwan
整租 | 此房位于融创伯爵郡，全新精装修首次出租,融创欧麓花园城铂爵郡,https://short.58.com/zd_p/fcfbf126-8822-4763-9043-cc06457c5adc/?target=xr-16-xgk_hvimob_82819917459711q-feykn&end=end&shangquan=ljzq
整租 | 巴南万达广场对面 学堂湾轻轨旁 典雅龙领国际巴适得很,典雅龙领国际,https://short.58.com/zd_p/b07be02a-fee3-4d58-90eb-82bee1e9b8d4/?target=xr-16-xgk_hvimob_82830576084144q-feykn&end=end&shangquan=longzhouwan
整租 | 万达商圈旭辉单间配套,旭辉城(商住楼),https://short.58.com/zd_p/3d246365-8ff4-49c6-9c2d-df46605df082/?target=xr-16-xgk_hvimob_82852725783099q-feykn&end=end&shangquan=longzhouwan
整租 | 巴南城南未来精装三室,城南未来二期,https://short.58.com/zd_p/3ca1ca78-38b6-4a95-8e65-a27611a311ea/?target=xr-16-xgk_hvimob_82851677627124q-feykn&end=end&shangquan=longzhouwan
整租 | 巴南印象精装两房出租 家电齐全 停车不收费 就在大门,帝豪巴南印象,https://cq.58.com/zufang/39349213553187x.shtml?shangquan=bnyudong
整租 | 巴南万达广场精装一室，便宜出租，免中，介费,巴南万达广场C区,https://cq.58.com/zufang/39082073112477x.shtml?shangquan=longzhouwan
整租 | 巴南万达广场B区 龒室龤厅龒卫,巴南万达广场B区,https://cq.58.com/zufang/39358913022476x.shtml?shangquan=longzhouwan
整租 | 帝豪巴南印象 龒餼驋龤元精装鑶房 临近轻轨三号线精装,帝豪巴南印象,https://cq.58.com/zufang/39238869916941x.shtml?shangquan=bnyudong
整租 | 免中介费！巴南万达精装单配，家电家具齐全通天然气，拎,巴南万达广场C区,https://cq.58.com/zufang/39239027591052x.shtml?shangquan=longzhouwan
整租 | 巴南万达广场C区 鑶室龤厅鑶卫,巴南万达广场C区,https://cq.58.com/zufang/39357127928587x.shtml?shangquan=longzhouwan
整租 | 巴南学堂湾 万达单配 无中介费,巴南万达广场C区,https://cq.58.com/zufang/39174048761098x.shtml?shangquan=longzhouwan
整租 | 鱼洞巴南印象 临近轻轨麣号线 精装鑶室 凭学生证立减,帝豪巴南印象,https://cq.58.com/zufang/38376838909210x.shtml?shangquan=bnyudong
单间 | 巴南万达广场C区 龒室龤厅龒卫 主卧 朝南,巴南万达广场C区,https://cq.58.com/hezu/39357205025410x.shtml?shangquan=longzhouwan
整租 | 巴南万达精装房，拎包入住。商圈配套成熟，出门就是轻轨,巴南万达广场C区,https://cq.58.com/zufang/39302362725912x.shtml?shangquan=longzhouwan
整租 | 月租啦！巴南万达广场步行街，支持短租的，想租朋友搞快,巴南万达广场B区,https://cq.58.com/zufang/38727785911825x.shtml?shangquan=longzhouwan
